Year,Mean_GDP,Mean_Education_Exp
1971,1381.32103351575,3.83396764071483
1972,1712.14141763258,4.0405667424202
1973,2224.5243045688,3.91149646926809
1975,2967.16119099621,4.141380484142
1979,4770.35469031419,4.20915536464207
1980,5093.13593004197,4.08319256730276
1981,5341.93420181397,4.15840485878289
2010,14869.842586848,4.54421351804324
2011,17525.182623205,4.23366907561661
2012,15774.0819463877,4.24072449996665
2013,16544.9784723459,4.38295992440398
2014,18027.9928771968,4.52676705466021
2015,13953.7811718807,4.56793666587156
2016,14547.5727001497,4.42288980247281
2017,16301.6483404719,4.46034318563954
1994,9039.99433983606,5.11703292176693
1995,11230.3772432317,4.09235160068799
1996,10182.7994233133,4.12872515979566
1997,6142.01009625049,4.0281946460406
1998,9816.13756062182,4.0328274162916
1999,7136.80569171133,4.36245831062919
2000,7131.72352433937,4.16605951300093
2001,7283.19967790054,4.40814450184504
2002,7393.83401671017,4.3147771147233
2003,9841.78369485156,4.48207511207951
2004,10594.5617580623,4.11166395375758
2005,12033.2890638928,4.34036872840264
2006,12500.6074795488,4.26706666674684
2007,15155.8970157561,4.28172533859068
2008,15003.9009379599,4.41754742068534
2009,14536.8724235581,4.73968403825634
2018,6685.06208491786,4.15115485126025
2019,14167.42856407,4.17611116521499
1985,4151.13486689008,4.15587599648804
1986,5424.73936308219,4.16706149702642
1987,7182.27352276996,4.1840957364098
1970,1285.34270070402,3.6654474905559
1974,2863.33149034395,4.05251861485568
1976,3721.12470019946,4.35090073455464
1977,3787.2719514478,4.55497767145817
1978,5110.73077714852,4.35582114412234
1982,4935.99046822161,4.13585545532945
1983,4399.99215779774,4.30273934877836
1984,3772.53489486617,4.39971416466164
1989,8275.23657535261,4.24174311903657
1990,9219.37175475271,3.97460581126966
1988,9488.75279570352,4.41000664625012
1991,9793.65623219455,4.20006263256073
1992,9672.88133710147,4.49160063555164
1993,9848.34105166558,4.65983469696606
